일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),업종
20200208,40,남성,서울,마포구,한식
20200208,30,여성,서울,마포구,한식
20200201,30,남성,서울,마포구,중식
20200221,30,여성,서울,마포구,한식
20200216,40,남성,서울,마포구,치킨
20200222,50,남성,서울,마포구,한식
20200218,40,여성,서울,마포구,치킨
20200228,30,여성,서울,마포구,치킨
20200229,40,여성,서울,마포구,한식
20200212,50,남성,서울,마포구,한식
20200201,50,남성,서울,마포구,중식
20200208,40,여성,서울,마포구,양식
20200201,50,남성,서울,마포구,한식
20200202,40,남성,서울,마포구,치킨
20200207,30,여성,서울,마포구,치킨
20200208,30,남성,서울,마포구,양식
20200214,30,여성,서울,마포구,한식
20200201,30,남성,서울,마포구,치킨
20200202,30,남성,서울,마포구,치킨
20200202,30,남성,서울,마포구,한식
20200209,40,여성,서울,마포구,양식
20200210,30,남성,서울,마포구,한식
20200202,30,여성,서울,마포구,치킨
20200226,40,여성,서울,마포구,치킨
20200221,20,여성,서울,마포구,한식
20200220,40,여성,서울,마포구,한식
20200216,40,여성,서울,마포구,중식
20200201,40,여성,서울,마포구,중식
20200204,30,여성,서울,마포구,한식
20200227,30,남성,서울,마포구,한식
20200212,40,여성,서울,마포구,한식
20200226,40,여성,서울,마포구,한식
20200227,50,남성,서울,마포구,한식
20200223,40,여성,서울,마포구,한식
20200208,40,남성,서울,마포구,치킨
20200209,30,남성,서울,마포구,한식
20200210,50,남성,서울,마포구,한식
20200214,50,남성,서울,마포구,한식
20200209,40,남성,서울,마포구,한식
20200206,40,여성,서울,마포구,한식
20200220,30,여성,서울,마포구,한식
20200207,50,여성,서울,마포구,한식
20200228,30,남성,서울,마포구,한식
20200215,40,남성,서울,마포구,한식
20200222,30,남성,서울,마포구,한식
20200214,30,남성,서울,마포구,양식
20200216,30,남성,서울,마포구,한식
20200202,30,여성,서울,마포구,한식
20200215,40,남성,서울,마포구,치킨
20200211,50,여성,서울,마포구,한식
20200201,30,여성,서울,마포구,한식
20200215,50,여성,서울,마포구,한식
20200219,40,여성,서울,마포구,치킨
20200212,40,여성,서울,마포구,치킨
20200216,30,여성,서울,마포구,한식
20200220,30,남성,서울,마포구,한식
20200213,20,여성,서울,마포구,한식
20200207,40,남성,서울,마포구,치킨
20200221,40,여성,서울,마포구,한식
20200206,40,남성,서울,마포구,한식
20200201,50,여성,서울,마포구,한식
20200209,30,남성,서울,마포구,치킨
20200221,30,여성,서울,마포구,치킨
20200207,30,남성,서울,마포구,한식
20200208,40,여성,서울,마포구,한식
20200209,30,여성,서울,마포구,한식
20200214,40,남성,서울,마포구,한식
20200209,40,여성,서울,마포구,치킨
20200210,40,남성,서울,마포구,한식
20200209,40,여성,서울,마포구,한식
20200212,40,남성,서울,마포구,중식
20200207,30,여성,서울,마포구,한식
20200209,50,남성,서울,마포구,한식
20200207,40,여성,서울,마포구,치킨
20200218,20,여성,서울,마포구,한식
20200224,30,여성,서울,마포구,한식
20200217,40,여성,서울,마포구,치킨
20200225,40,여성,서울,마포구,치킨
20200220,50,남성,서울,마포구,한식
20200227,30,여성,서울,마포구,한식
20200229,30,남성,서울,마포구,한식
20200213,30,남성,서울,마포구,한식
20200223,30,여성,서울,마포구,한식
20200228,50,남성,서울,마포구,한식
20200222,30,여성,서울,마포구,한식
20200201,40,여성,서울,마포구,양식
20200206,50,남성,서울,마포구,한식
20200229,50,남성,서울,마포구,한식
20200204,30,남성,서울,마포구,한식
20200215,40,여성,서울,마포구,한식
20200226,50,남성,서울,마포구,한식
20200215,30,남성,서울,마포구,한식
20200204,50,남성,서울,마포구,한식
20200217,40,여성,서울,마포구,한식
20200217,50,남성,서울,마포구,한식
20200220,50,여성,서울,마포구,한식
20200225,50,여성,서울,마포구,한식
20200222,30,여성,서울,마포구,치킨
20200224,40,남성,서울,마포구,한식
20200212,40,여성,서울,마포구,양식
20200209,40,남성,서울,마포구,중식
20200216,50,남성,서울,마포구,한식
20200228,30,남성,서울,마포구,치킨
20200211,30,남성,서울,마포구,한식
20200209,40,남성,서울,마포구,치킨
20200213,50,남성,서울,마포구,한식
20200217,60,남성,서울,마포구,한식
20200210,40,여성,서울,마포구,한식
20200223,40,여성,서울,마포구,치킨
20200222,30,남성,서울,마포구,치킨
20200228,30,여성,서울,마포구,한식
20200229,40,남성,서울,마포구,한식
20200214,50,여성,서울,마포구,한식
20200217,30,남성,서울,마포구,한식
20200221,50,여성,서울,마포구,한식
20200204,40,여성,서울,마포구,한식
20200213,40,남성,서울,마포구,한식
20200224,50,남성,서울,마포구,한식
20200226,30,남성,서울,마포구,한식
20200216,40,남성,서울,마포구,한식
20200226,40,남성,서울,마포구,한식
20200205,30,여성,서울,마포구,한식
20200205,50,여성,서울,마포구,한식
20200207,30,남성,서울,마포구,치킨
20200210,50,여성,서울,마포구,한식
20200228,40,여성,서울,마포구,한식
20200225,30,남성,서울,마포구,한식
20200214,20,여성,서울,마포구,한식
20200220,40,여성,서울,마포구,치킨
20200218,40,여성,서울,마포구,한식
20200206,30,여성,서울,마포구,한식
20200206,30,남성,서울,마포구,한식
20200217,50,여성,서울,마포구,한식
20200212,30,여성,서울,마포구,양식
20200223,40,남성,서울,마포구,치킨
20200206,40,여성,서울,마포구,치킨
20200207,40,남성,서울,마포구,한식
20200207,50,남성,서울,마포구,한식
20200228,40,남성,서울,마포구,치킨
20200214,40,여성,서울,마포구,중식
20200213,30,여성,서울,마포구,한식
20200227,40,여성,서울,마포구,한식
20200202,40,남성,서울,마포구,한식
20200227,50,여성,서울,마포구,한식
20200228,40,남성,서울,마포구,중식
20200205,50,남성,서울,마포구,한식
20200211,40,여성,서울,마포구,치킨
20200208,30,남성,서울,마포구,치킨
20200210,30,여성,서울,마포구,한식
20200222,40,남성,서울,마포구,치킨
20200211,30,여성,서울,마포구,한식
20200208,50,여성,서울,마포구,한식
20200208,30,남성,서울,마포구,한식
20200225,30,여성,서울,마포구,한식
20200218,40,남성,서울,마포구,한식
20200214,30,여성,서울,마포구,양식
20200205,40,여성,서울,마포구,치킨
20200205,40,남성,서울,마포구,한식
20200205,30,남성,서울,마포구,한식
20200215,20,여성,서울,마포구,한식
20200201,30,여성,서울,마포구,치킨
20200221,30,남성,서울,마포구,치킨
20200228,50,여성,서울,마포구,치킨
20200212,30,여성,서울,마포구,한식
20200219,40,남성,서울,마포구,한식
20200229,40,여성,서울,마포구,중식
20200226,50,여성,서울,마포구,한식
20200223,40,남성,서울,마포구,중식
20200217,30,여성,서울,마포구,한식
20200204,50,여성,서울,마포구,한식
20200201,40,남성,서울,마포구,치킨
20200219,30,여성,서울,마포구,한식
20200213,40,여성,서울,마포구,치킨
