일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),업종
20200823,50,여성,서울,강북구,중식
20200830,40,여성,서울,강북구,양식
20200825,50,여성,서울,강북구,치킨
20200809,50,여성,서울,강북구,치킨
20200809,50,여성,서울,강북구,중식
20200802,50,여성,서울,강북구,치킨
20200826,60,여성,서울,강북구,한식
20200821,40,여성,서울,강북구,치킨
20200821,50,여성,서울,강북구,중식
20200830,40,남성,서울,강북구,중식
20200816,40,남성,서울,강북구,한식
20200809,50,남성,서울,강북구,한식
20200806,50,남성,서울,강북구,한식
20200821,30,여성,서울,강북구,한식
20200822,50,여성,서울,강북구,치킨
20200802,30,여성,서울,강북구,한식
20200821,50,여성,서울,강북구,치킨
20200812,60,남성,서울,강북구,한식
20200829,40,여성,서울,강북구,한식
20200815,50,남성,서울,강북구,중식
20200829,30,여성,서울,강북구,한식
20200810,30,남성,서울,강북구,한식
20200822,40,남성,서울,강북구,치킨
20200823,60,남성,서울,강북구,한식
20200829,50,여성,서울,강북구,중식
20200826,40,남성,서울,강북구,한식
20200808,40,여성,서울,강북구,중식
20200823,30,여성,서울,강북구,한식
20200828,40,여성,서울,강북구,치킨
20200805,40,여성,서울,강북구,치킨
20200828,30,여성,서울,강북구,한식
20200809,30,남성,서울,강북구,한식
20200823,40,여성,서울,강북구,양식
20200818,40,남성,서울,강북구,한식
20200828,50,남성,서울,강북구,한식
20200808,50,여성,서울,강북구,치킨
20200808,40,남성,서울,강북구,치킨
20200804,50,여성,서울,강북구,한식
20200822,60,여성,서울,강북구,한식
20200827,50,여성,서울,강북구,중식
20200809,40,여성,서울,강북구,치킨
20200808,30,여성,서울,강북구,한식
20200831,40,여성,서울,강북구,치킨
20200814,40,여성,서울,강북구,치킨
20200831,50,여성,서울,강북구,한식
20200822,40,여성,서울,강북구,한식
20200831,30,남성,서울,강북구,한식
20200809,30,남성,서울,강북구,치킨
20200801,60,여성,서울,강북구,한식
20200803,40,여성,서울,강북구,한식
20200816,40,남성,서울,강북구,치킨
20200801,50,남성,서울,강북구,중식
20200829,40,남성,서울,강북구,한식
20200802,40,여성,서울,강북구,한식
20200830,40,여성,서울,강북구,치킨
20200801,40,여성,서울,강북구,한식
20200828,50,여성,서울,강북구,치킨
20200830,50,남성,서울,강북구,한식
20200819,50,남성,서울,강북구,한식
20200830,50,남성,서울,강북구,중식
20200804,40,여성,서울,강북구,한식
20200801,50,여성,서울,강북구,치킨
20200814,50,여성,서울,강북구,한식
20200829,50,여성,서울,강북구,한식
20200802,50,여성,서울,강북구,한식
20200812,40,남성,서울,강북구,한식
20200828,40,여성,서울,강북구,중식
20200815,40,남성,서울,강북구,치킨
20200827,40,여성,서울,강북구,한식
20200815,50,여성,서울,강북구,치킨
20200817,40,남성,서울,강북구,치킨
20200822,50,남성,서울,강북구,한식
20200808,40,남성,서울,강북구,한식
20200815,40,여성,서울,강북구,치킨
20200815,60,남성,서울,강북구,한식
20200818,40,여성,서울,강북구,치킨
20200822,40,여성,서울,강북구,중식
20200809,40,여성,서울,강북구,한식
20200808,40,여성,서울,강북구,치킨
20200823,40,남성,서울,강북구,한식
20200815,40,여성,서울,강북구,중식
20200803,50,남성,서울,강북구,한식
20200814,60,남성,서울,강북구,한식
20200816,40,남성,서울,강북구,중식
20200802,40,여성,서울,강북구,중식
20200823,50,여성,서울,강북구,한식
20200801,30,여성,서울,강북구,한식
20200822,30,여성,서울,강북구,한식
20200831,50,여성,서울,강북구,중식
20200815,30,여성,서울,강북구,치킨
20200825,40,여성,서울,강북구,한식
